COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
07|M|40 a 44 años|42012|0|42012|18436|41532|959|492|0|0
07|M|45 a 49 años|42673|0|42673|16983|41747|774|369|0|0
07|M|50 a 54 años|38818|0|38818|17462|37649|568|219|0|0
07|M|55 a 59 años|33510|1|33511|14390|32384|570|117|1|0
07|M|60 a 64 años|27805|2|27805|10830|26837|427|66|1|1
07|M|65 a 69 años|22270|0|22270|6426|21422|182|16|0|0
07|M|70 a 74 años|15867|0|15867|3982|15098|81|6|0|0
07|M|Más de 74 años|18901|0|18901|6462|15529|34|2|0|0
07|V|15 a 17 años|2258|2|2259|2258|0|0|0|0|2
07|V|18 a 20 años|7894|2|7895|3735|6366|7|0|0|2
07|V|21 a 24 años|17153|0|17153|5327|16535|241|16|0|0
07|V|25 a 29 años|22066|0|22066|6293|21708|723|163|0|0
07|V|30 a 34 años|22782|0|22782|9439|22439|1026|307|0|0
07|V|35 a 39 años|26974|0|26974|13427|26609|1673|674|0|0
07|V|40 a 44 años|29865|0|29865|15388|29420|2316|965|0|0
07|V|45 a 49 años|40811|0|40811|25206|39608|4052|1635|0|0
07|V|50 a 54 años|42963|1|42963|28575|41447|4895|2376|0|1
07|V|55 a 59 años|38064|0|38064|25814|36607|4580|2418|0|0
07|V|60 a 64 años|32134|1|32134|22549|30704|4172|2101|0|1
07|V|65 a 69 años|25954|3|25954|18669|24696|1856|777|0|3
07|V|70 a 74 años|20235|2|20235|14314|19065|712|306|0|2
07|V|Más de 74 años|32716|11|32716|26354|26538|335|122|0|11
08|M|15 a 17 años|1004|0|1004|1004|0|0|0|0|0
08|M|18 a 20 años|17836|0|17836|2662|16841|14|0|0|0
08|M|21 a 24 años|60962|0|60962|5001|60501|117|8|0|0
08|M|25 a 29 años|94306|0|94306|8988|93750|356|93|0|0
08|M|30 a 34 años|109867|0|109867|18312|109072|446|205|0|0
08|M|35 a 39 años|122103|0|122103|25506|121078|589|429|0|0
08|M|40 a 44 años|142751|0|142751|35253|141294|959|677|0|0
08|M|45 a 49 años|173890|0|173890|49673|170480|1015|706|0|0
08|M|50 a 54 años|171263|0|171263|57915|165884|827|617|0|0
08|M|55 a 59 años|146281|0|146281|42829|141907|691|467|0|0
08|M|60 a 64 años|118619|0|118619|31698|115407|424|203|0|0
08|M|65 a 69 años|96438|0|96438|19800|94193|165|73|0|0
08|M|70 a 74 años|62408|0|62408|9795|60764|60|16|0|0
08|M|Más de 74 años|53622|0|53622|10607|50170|13|2|0|0
08|V|15 a 17 años|3280|13|3290|3280|0|0|0|0|13
08|V|18 a 20 años|32304|14|32312|8698|29612|47|0|0|14
